(0.3604803806,0.350780991)
(0.1434279165,0.4691732442)
(-0.04402648439,0.5776994763)
(-0.2709449696,0.7454218349)
(-0.5866576448,0.952608278)
(-0.8037101089,1.209124827)
(-1.010896552,1.485373417)
(-1.208216974,1.741889966)
(-1.336475248,1.988540493)
(-1.44500148,2.235191021)
(-1.523929649,2.462109506)
(-1.425269438,2.610099822)
(-1.425269438,2.738358097)
(-1.484465565,2.935678519)
(-1.178618911,2.975142603)
(-1.060226657,3.024472709)
(-1.326609227,2.955410561)
(-1.553527712,2.975142603)
(-1.721250071,3.054070772)
(-1.948168556,3.211927109)
(-1.997498662,3.498041721)
(-1.918570493,3.75455827)
(-1.731116092,3.882816544)
(-1.602857818,3.892682565)
(-1.435135459,3.902548586)
(-1.237815037,3.853218481)
(-1.0799587,3.764424291)
(-1.218082995,3.882816544)
(-1.395671375,3.93214665)
(-1.602857818,3.942012671)
(-1.681785987,4.129467071)
(-1.71138405,4.326787493)
(-1.731116092,4.514241894)
(-1.523929649,4.435313725)
(-1.543661691,4.780624464)
(-1.563393733,5.10620316)
(-1.543661691,5.303523582)
(-1.267413101,4.918748759)
(-1.050360636,4.612902105)
(-0.9319683832,4.464911789)
(-1.139154826,4.770758443)
(-1.297011164,4.948346823)
(-1.425269438,5.145667245)
(-1.573259755,5.28379154)
(-1.563393733,5.096337139)
(-1.553527712,4.869418654)
(-1.543661691,4.603036084)
(-1.504197607,4.376117599)
(-1.612723839,4.405715662)
(-1.760714155,4.514241894)
(-1.997498662,4.751026401)
(-2.145488978,4.899016717)
(-2.303345316,5.007542949)
(-2.204685105,4.701696295)
(-2.106024894,4.326787493)
(-2.076426831,4.139333093)
(-2.115890915,4.366251578)
(-2.184953063,4.593170063)
(-2.263881231,4.829954569)
(-2.313211337,4.997676928)
(-2.115890915,4.859552633)
(-1.958034577,4.691830274)
(-1.819910282,4.573438021)
(-1.879106409,4.760892422)
(-1.97776662,5.01740897)
(-2.096158873,5.323255624)
(-2.204685105,5.717896468)
(-2.303345316,6.023743122)
(-2.451335632,6.418383966)
(-2.471067674,6.822890831)
(-2.362541442,7.178067591)
